id;q3;qualifyId
0;1:26.714;1
1;1:26.869;2
2;1:27.079;3
3;1:27.178;4
4;1:27.236;5
5;1:28.527;6
6;1:28.687;7
7;1:29.041;8
8;1:29.593;9
22;1:35.748;23
23;1:36.230;24
24;1:36.613;25
25;1:36.709;26
26;1:36.711;27
27;1:36.727;28
28;1:36.753;29
29;1:37.009;30
30;1:38.450;31
31;1:39.656;32
44;1:33.096;45
45;1:33.123;46
46;1:33.292;47
47;1:33.418;48
48;1:33.488;49
49;1:33.737;50
50;1:33.994;51
51;1:34.015;52
52;1:35.057;53
53;1:35.115;54
66;1:21.813;67
67;1:21.904;68
68;1:22.058;69
69;1:22.065;70
70;1:22.096;71
71;1:22.231;72
72;1:22.429;73
73;1:22.529;74
74;1:22.542;75
75;1:22.699;76
88;1:27.617;89
89;1:27.808;90
90;1:27.923;91
91;1:27.936;92
92;1:28.390;93
93;1:28.417;94
94;1:28.422;95
95;1:28.836;96
96;1:28.882;97
97;1:29.959;98
108;1:15.787;109
109;1:15.815;110
110;1:15.839;111
111;1:16.165;112
112;1:16.171;113
113;1:16.548;114
114;1:16.852;115
115;1:17.203;116
116;1:17.343;117
128;1:17.886;129
129;1:18.498;130
130;1:18.735;131
131;1:18.746;132
132;1:18.844;133
133;1:19.048;134
134;1:19.089;135
135;1:19.633;136
136;1:20.848;137
148;1:16.449;149
149;1:16.490;150
150;1:16.693;151
151;1:16.840;152
152;1:16.920;153
153;1:16.944;154
154;1:17.037;155
155;1:17.233;156
156;1:17.426;157
157;1:17.596;158
168;1:21.049;169
169;1:21.554;170
170;1:21.706;171
171;1:21.835;172
172;1:21.873;173
173;1:22.029;174
174;1:22.491;175
175;1:23.251;176
176;1:23.305;177
188;1:15.666;189
189;1:15.859;190
190;1:16.143;191
191;1:16.191;192
192;1:16.385;193
193;1:16.389;194
194;1:16.521;195
195;1:17.014;196
196;1:17.244;197
197;1:17.503;198
208;1:20.899;209
209;1:21.140;210
210;1:21.191;211
211;1:21.281;212
212;1:21.326;213
213;1:21.516;214
214;1:21.698;215
215;1:21.732;216
216;1:21.767;217
217;1:22.371;218
228;1:38.989;229
229;1:39.199;230
230;1:39.392;231
231;1:39.488;232
232;1:39.937;233
233;1:40.142;234
234;1:40.309;235
235;1:40.631;236
236;1:40.721;237
237;1:40.750;238
248;1:47.338;249
249;1:47.678;250
250;1:47.815;251
251;1:47.992;252
252;1:48.315;253
253;1:48.504;254
254;1:48.736;255
255;1:48.763;256
256;1:48.951;257
257;1:50.319;258
268;1:37.555;269
269;1:37.631;270
270;1:38.117;271
271;1:38.445;272
272;1:38.767;273
273;1:38.894;274
274;1:39.152;275
275;1:39.751;276
276;1:39.787;277
277;1:39.906;278
288;1:44.801;289
289;1:45.465;290
290;1:45.617;291
291;1:45.779;292
292;1:45.873;293
293;1:45.964;294
294;1:46.244;295
295;1:46.328;296
296;1:46.611;297
297;1:47.547;298
308;1:18.404;309
309;1:18.644;310
310;1:18.821;311
311;1:18.852;312
312;1:18.874;313
313;1:18.979;314
314;1:19.026;315
315;1:19.118;316
316;1:19.638;317
317;1:20.167;318
328;1:36.303;329
329;1:36.645;330
330;1:36.889;331
331;1:36.927;332
332;1:36.930;333
333;1:37.083;334
334;1:37.201;335
335;1:37.685;336
336;1:37.934;337
337;1:38.885;338
348;1:12.368;349
349;1:12.737;350
350;1:12.825;351
351;1:12.830;352
352;1:12.917;353
353;1:12.967;354
354;1:13.082;355
355;1:13.297;356
356;1:14.105;357
357;1:14.230;358
368;1:26.072;369
369;1:26.493;370
370;1:26.556;371
371;1:26.755;372
372;1:27.347;373
373;1:27.634;374
374;1:27.934;375
375;1:28.404;376
376;1:28.692;377
377;1:28.871;378
390;1:35.043;391
391;1:35.310;392
392;1:35.479;393
393;1:36.045;394
