resultId;number;grid;position;positionText;positionOrder;points;laps;raceId;driverId;constructorId;statusId
1;22;1;1;1;1;10.0;58;18;1;1;1
2;3;5;2;2;2;8.0;58;18;2;2;1
3;7;7;3;3;3;6.0;58;18;3;3;1
4;5;11;4;4;4;5.0;58;18;4;4;1
5;23;3;5;5;5;4.0;58;18;5;1;1
6;8;13;6;6;6;3.0;57;18;6;3;11
7;14;17;7;7;7;2.0;55;18;7;5;5
8;1;15;8;8;8;1.0;53;18;8;6;5
9;4;2;\N;R;9;0.0;47;18;9;2;4
10;12;18;\N;R;10;0.0;43;18;10;7;3
11;18;19;\N;R;11;0.0;32;18;11;8;7
12;6;20;\N;R;12;0.0;30;18;12;4;8
13;2;4;\N;R;13;0.0;29;18;13;6;5
14;9;8;\N;R;14;0.0;25;18;14;9;4
15;11;6;\N;R;15;0.0;19;18;15;7;10
16;20;22;\N;R;16;0.0;8;18;16;10;9
17;10;14;\N;R;17;0.0;0;18;17;9;4
18;16;12;\N;R;18;0.0;0;18;18;11;4
19;19;21;\N;R;19;0.0;0;18;19;8;4
20;15;9;\N;R;20;0.0;0;18;20;5;4
21;21;16;\N;R;21;0.0;0;18;21;10;4
22;17;10;\N;D;22;0.0;58;18;22;11;2
23;1;2;1;1;1;10.0;56;19;8;6;1
24;4;4;2;2;2;8.0;56;19;9;2;1
25;23;8;3;3;3;6.0;56;19;5;1;1
26;11;3;4;4;4;5.0;56;19;15;7;1
27;22;9;5;5;5;4.0;56;19;1;1;1
28;3;5;6;6;6;3.0;56;19;2;2;1
29;10;6;7;7;7;2.0;56;19;17;9;1
30;5;7;8;8;8;1.0;56;19;4;4;1
31;9;12;9;9;9;0.0;56;19;14;9;1
32;16;11;10;10;10;0.0;56;19;18;11;1
33;6;13;11;11;11;0.0;56;19;12;4;1
34;21;17;12;12;12;0.0;55;19;21;10;11
35;17;14;13;13;13;0.0;55;19;22;11;11
36;7;16;14;14;14;0.0;55;19;3;3;11
37;19;21;15;15;15;0.0;55;19;19;8;11
38;18;19;16;16;16;0.0;54;19;11;8;12
39;8;22;17;17;17;0.0;54;19;6;3;12
40;15;15;\N;R;18;0.0;39;19;20;5;5
41;2;1;\N;R;19;0.0;30;19;13;6;20
42;20;20;\N;R;20;0.0;5;19;16;10;9
43;12;10;\N;R;21;0.0;1;19;10;7;4
44;14;18;\N;R;22;0.0;0;19;7;5;20
45;2;2;1;1;1;10.0;57;20;13;6;1
46;1;4;2;2;2;8.0;57;20;8;6;1
47;4;1;3;3;3;6.0;57;20;9;2;1
48;3;6;4;4;4;5.0;57;20;2;2;1
49;23;5;5;5;5;4.0;57;20;5;1;1
50;11;7;6;6;6;3.0;57;20;15;7;1
51;10;11;7;7;7;2.0;57;20;17;9;1
52;7;8;8;8;8;1.0;57;20;3;3;1
53;12;13;9;9;9;0.0;57;20;10;7;1
54;5;10;10;10;10;0.0;57;20;4;4;1
55;17;12;11;11;11;0.0;57;20;22;11;1
56;21;18;12;12;12;0.0;56;20;21;10;11
57;22;3;13;13;13;0.0;56;20;1;1;11
58;8;16;14;14;14;0.0;56;20;6;3;11
59;14;15;15;15;15;0.0;56;20;7;5;11
60;19;21;16;16;16;0.0;56;20;19;8;11
61;18;22;17;17;17;0.0;56;20;11;8;11
62;9;17;18;18;18;0.0;56;20;14;9;11
63;20;20;19;19;19;0.0;56;20;16;10;12
64;6;14;\N;R;20;0.0;40;20;12;4;6
65;16;9;\N;R;21;0.0;19;20;18;11;4
66;15;19;\N;R;22;0.0;0;20;20;5;5
67;1;1;1;1;1;10.0;66;21;8;6;1
68;2;3;2;2;2;8.0;66;21;13;6;1
69;22;5;3;3;3;6.0;66;21;1;1;1
70;4;4;4;4;4;5.0;66;21;9;2;1
71;10;7;5;5;5;4.0;66;21;17;9;1
72;16;13;6;6;6;3.0;66;21;18;11;1
73;8;12;7;7;7;2.0;66;21;6;3;1
74;11;8;8;8;8;1.0;66;21;15;7;1
75;3;9;9;9;9;0.0;66;21;2;2;1
76;21;19;10;10;10;0.0;65;21;21;10;11
77;12;14;11;11;11;0.0;65;21;10;7;11
78;9;17;12;12;12;0.0;65;21;14;9;11
79;18;22;13;13;13;0.0;65;21;11;8;11
80;7;15;\N;R;14;0.0;41;21;3;3;5
81;5;2;\N;R;15;0.0;34;21;4;4;5
82;17;11;\N;R;16;0.0;34;21;22;11;4
83;23;6;\N;R;17;0.0;21;21;5;1;3
84;19;21;\N;R;18;0.0;8;21;19;8;21
85;14;16;\N;R;19;0.0;7;21;7;5;4
86;6;10;\N;R;20;0.0;6;21;12;4;4
87;20;20;\N;R;21;0.0;0;21;16;10;4
88;15;18;\N;R;22;0.0;0;21;20;5;4
89;2;1;1;1;1;10.0;58;22;13;6;1
90;22;3;2;2;2;8.0;58;22;1;1;1
91;1;4;3;3;3;6.0;58;22;8;6;1
92;4;5;4;4;4;5.0;58;22;9;2;1
93;3;9;5;5;5;4.0;58;22;2;2;1
94;5;7;6;6;6;3.0;58;22;4;4;1
95;10;6;7;7;7;2.0;58;22;17;9;1
96;7;11;8;8;8;1.0;58;22;3;3;1
97;9;10;9;9;9;0.0;58;22;14;9;1
98;11;8;10;10;10;0.0;58;22;15;7;1
99;16;13;11;11;11;0.0;57;22;18;11;11
