resultId;number;grid;position;positionText;positionOrder;points;laps;raceId;driverId;constructorId;statusId
1;33;2;1;1;1;3;17;1061;830;9;1
2;44;1;2;2;2;2;17;1061;1;131;1
3;77;3;3;3;3;1;17;1061;822;131;1
4;16;4;4;4;4;0;17;1061;844;6;1
5;4;6;5;5;5;0;17;1061;846;1;1
6;3;7;6;6;6;0;17;1061;817;1;1
7;14;11;7;7;7;0;17;1061;4;214;1
8;5;10;8;8;8;0;17;1061;20;117;1
9;63;8;9;9;9;0;17;1061;847;3;1
10;31;13;10;10;10;0;17;1061;839;214;1
11;55;9;11;11;11;0;17;1061;832;6;1
12;10;12;12;12;12;0;17;1061;842;213;1
13;7;17;13;13;13;0;17;1061;8;51;1
14;18;15;14;14;14;0;17;1061;840;117;1
15;99;14;15;15;15;0;17;1061;841;51;1
16;22;16;16;16;16;0;17;1061;852;213;1
17;6;18;17;17;17;0;17;1061;849;3;1
18;47;19;18;18;18;0;17;1061;854;210;1
19;9;20;19;19;19;0;17;1061;853;210;1
20;11;5;0;R;20;0;16;1061;815;9;76
21;77;1;1;1;1;3;18;1065;822;131;1
22;33;3;2;2;2;2;18;1065;830;9;1
23;3;5;3;3;3;1;18;1065;817;1;1
24;4;4;4;4;4;0;18;1065;846;1;1
25;44;2;5;5;5;0;18;1065;1;131;1
26;16;8;6;6;6;0;18;1065;844;6;1
27;55;7;7;7;7;0;18;1065;832;6;1
28;99;10;8;8;8;0;18;1065;841;51;1
29;11;9;9;9;9;0;18;1065;815;9;1
30;18;12;10;10;10;0;18;1065;840;117;1
31;14;13;11;11;11;0;18;1065;4;214;1
32;5;11;12;12;12;0;18;1065;20;117;1
33;31;14;13;13;13;0;18;1065;839;214;1
34;6;16;14;14;14;0;18;1065;849;3;1
35;63;15;15;15;15;0;18;1065;847;3;1
36;22;17;16;16;16;0;18;1065;852;213;1
37;9;20;17;17;17;0;18;1065;853;210;1
38;88;19;18;18;18;0;18;1065;9;51;1
39;47;18;19;19;19;0;18;1065;854;210;1
40;10;6;0;R;20;0;0;1065;842;213;3
41;77;2;1;1;1;3;24;1071;822;131;1
42;33;1;2;2;2;2;24;1071;830;9;1
43;55;5;3;3;3;1;24;1071;832;6;1
44;11;3;4;4;4;0;24;1071;815;9;1
45;44;20;5;5;5;0;24;1071;1;131;1
46;4;7;6;6;6;0;24;1071;846;1;1
47;16;6;7;7;7;0;24;1071;844;6;1
48;10;4;8;8;8;0;24;1071;842;213;1
49;31;10;9;9;9;0;24;1071;839;214;1
50;5;11;10;10;10;0;24;1071;20;117;1
51;3;8;11;11;11;0;24;1071;817;1;1
52;14;9;12;12;12;0;24;1071;4;214;1
53;99;14;13;13;13;0;24;1071;841;51;1
54;18;15;14;14;14;0;24;1071;840;117;1
55;22;12;15;15;15;0;24;1071;852;213;1
56;6;16;16;16;16;0;24;1071;849;3;1
57;63;17;17;17;17;0;24;1071;847;3;1
58;7;13;18;18;18;0;24;1071;8;51;1
59;47;18;19;19;19;0;24;1071;854;210;1
60;9;19;20;20;20;0;24;1071;853;210;1
61;1;1;1;1;1;8;21;1077;830;9;1
62;16;2;2;2;2;7;21;1077;844;6;1
63;11;7;3;3;3;6;21;1077;815;9;1
64;55;10;4;4;4;5;21;1077;832;6;1
65;4;3;5;5;5;4;21;1077;846;1;1
66;3;6;6;6;6;3;21;1077;817;1;1
67;77;8;7;7;7;2;21;1077;822;51;1
68;20;4;8;8;8;1;21;1077;825;210;1
69;14;5;9;9;9;0;21;1077;4;214;1
70;47;12;10;10;10;0;21;1077;854;210;1
71;63;11;11;11;11;0;21;1077;847;131;1
72;22;16;12;12;12;0;21;1077;852;213;1
73;5;9;13;13;13;0;21;1077;20;117;1
74;44;13;14;14;14;0;21;1077;1;131;1
75;18;15;15;15;15;0;21;1077;840;117;1
76;31;19;16;16;16;0;21;1077;839;214;1
77;10;17;17;17;17;0;21;1077;842;213;1
78;23;20;18;18;18;0;21;1077;848;3;1
79;6;18;19;19;19;0;21;1077;849;3;1
80;24;0;0;R;20;0;0;1077;855;51;31
81;1;1;1;1;1;8;23;1084;830;9;1
82;16;2;2;2;2;7;23;1084;844;6;1
83;55;3;3;3;3;6;23;1084;832;6;1
84;63;4;4;4;4;5;23;1084;847;131;1
85;11;13;5;5;5;4;23;1084;815;9;1
86;31;5;6;6;6;3;23;1084;839;214;1
