ID;type;fp_date;fp_time;raceId
1;1;2022-03-18;12:00:00;1074
2;1;2022-03-25;14:00:00;1075
3;1;2022-04-08;03:00:00;1076
4;1;2022-04-22;11:30:00;1077
5;1;2022-05-06;18:30:00;1078
6;1;2022-05-20;12:00:00;1079
7;1;2022-05-27;12:00:00;1080
8;1;2022-06-10;11:00:00;1081
9;1;2022-06-17;18:00:00;1082
10;1;2022-07-01;12:00:00;1083
11;1;2022-07-08;11:30:00;1084
12;1;2022-07-22;12:00:00;1085
13;1;2022-07-29;12:00:00;1086
14;1;2022-08-26;12:00:00;1087
15;1;2022-09-02;10:30:00;1088
16;1;2022-09-09;12:00:00;1089
17;1;2022-09-30;10:00:00;1091
18;1;2022-10-07;03:00:00;1092
19;1;2022-10-21;19:00:00;1093
20;1;2022-10-28;18:00:00;1094
21;1;2022-11-11;15:30:00;1095
22;1;2022-11-18;10:00:00;1096
23;1;2023-03-03;11:30:00;1098
24;1;2023-03-17;13:30:00;1099
25;1;2023-03-31;01:30:00;1100
26;1;2023-04-28;09:30:00;1101
27;1;2023-05-05;18:00:00;1102
28;1;2023-05-26;11:30:00;1104
29;1;2023-06-02;11:30:00;1105
30;1;2023-06-16;17:30:00;1106
31;1;2023-06-30;11:30:00;1107
32;1;2023-07-07;11:30:00;1108
33;1;2023-07-21;11:30:00;1109
34;1;2023-07-28;11:30:00;1110
35;1;2023-08-25;10:30:00;1111
36;1;2023-09-01;11:30:00;1112
37;1;2023-09-15;09:30:00;1113
38;1;2023-09-22;02:30:00;1114
39;1;2023-10-06;13:30:00;1115
40;1;2023-10-20;17:30:00;1116
41;1;2023-10-27;18:30:00;1117
42;1;2023-11-03;14:30:00;1118
43;1;2023-11-16;04:30:00;1119
44;1;2023-11-24;09:30:00;1120
45;1;2024-02-29;11:30:00;1121
46;1;2024-03-07;13:30:00;1122
47;1;2024-03-22;01:30:00;1123
48;1;2024-04-05;02:30:00;1124
49;1;2024-04-19;03:30:00;1125
50;1;2024-05-03;16:30:00;1126
51;1;2024-05-17;11:30:00;1127
52;1;2024-05-24;11:30:00;1128
53;1;2024-06-07;17:30:00;1129
54;1;2024-06-21;11:30:00;1130
55;1;2024-06-28;10:30:00;1131
56;1;2024-07-05;11:30:00;1132
57;1;2024-07-19;11:30:00;1133
