constructorResultsId;points;status;constructorId;raceId
1;14.0;0;1;18
2;8.0;0;2;18
3;9.0;0;3;18
4;5.0;0;4;18
5;2.0;0;5;18
6;1.0;0;6;18
7;0.0;0;7;18
8;0.0;0;8;18
9;0.0;0;9;18
10;0.0;0;10;18
11;0.0;0;11;18
12;10.0;0;6;19
13;11.0;0;2;19
14;10.0;0;1;19
15;5.0;0;7;19
16;2.0;0;9;19
17;1.0;0;4;19
18;0.0;0;11;19
19;0.0;0;10;19
20;0.0;0;3;19
21;0.0;0;8;19
22;0.0;0;5;19
23;18.0;0;6;20
24;11.0;0;2;20
25;4.0;0;1;20
26;3.0;0;7;20
27;2.0;0;9;20
28;1.0;0;3;20
29;0.0;0;4;20
30;0.0;0;11;20
31;0.0;0;10;20
32;0.0;0;5;20
33;0.0;0;8;20
34;18.0;0;6;21
35;6.0;0;1;21
36;5.0;0;2;21
37;4.0;0;9;21
38;3.0;0;11;21
39;2.0;0;3;21
40;1.0;0;7;21
41;0.0;0;10;21
42;0.0;0;8;21
43;0.0;0;4;21
44;0.0;0;5;21
45;16.0;0;6;22
46;8.0;0;1;22
47;9.0;0;2;22
48;3.0;0;4;22
49;2.0;0;9;22
50;1.0;0;3;22
51;0.0;0;7;22
52;0.0;0;11;22
53;0.0;0;10;22
54;0.0;0;5;22
55;11.0;0;1;23
56;8.0;0;2;23
57;6.0;0;6;23
58;5.0;0;9;23
59;4.0;0;5;23
60;3.0;0;11;23
61;2.0;0;3;23
62;0.0;0;4;23
63;0.0;0;7;23
64;0.0;0;10;23
65;18.0;0;2;24
66;6.0;0;9;24
67;8.0;0;7;24
68;4.0;0;6;24
69;2.0;0;11;24
70;1.0;0;5;24
71;0.0;0;1;24
72;0.0;0;3;24
73;0.0;0;10;24
74;0.0;0;4;24
75;18.0;0;6;25
76;6.0;0;7;25
77;5.0;0;1;25
78;4.0;0;2;25
79;3.0;0;9;25
80;3.0;0;4;25
81;0.0;0;5;25
82;0.0;0;11;25
83;0.0;0;3;25
84;0.0;0;10;25
85;14.0;0;1;26
86;8.0;0;2;26
87;6.0;0;11;26
88;5.0;0;6;26
89;3.0;0;4;26
90;2.0;0;7;26
91;1.0;0;3;26
92;0.0;0;9;26
93;0.0;0;5;26
94;0.0;0;10;26
95;14.0;0;1;27
96;8.0;0;4;27
97;9.0;0;6;27
98;7.0;0;2;27
99;1.0;0;5;27
100;0.0;0;7;27
101;0.0;0;3;27
102;0.0;0;9;27
103;0.0;0;10;27
104;0.0;0;11;27
105;14.0;0;1;28
106;10.0;0;7;28
107;6.0;0;6;28
108;8.0;0;4;28
109;1.0;0;2;28
110;0.0;0;9;28
111;0.0;0;11;28
112;0.0;0;3;28
113;0.0;0;10;28
114;0.0;0;5;28
115;10.0;0;6;29
116;13.0;0;1;29
117;6.0;0;2;29
118;6.0;0;7;29
119;3.0;0;5;29
120;1.0;0;3;29
121;0.0;0;4;29
122;0.0;0;9;29
123;0.0;0;11;29
124;0.0;0;10;29
125;10.0;0;6;30
126;11.0;0;2;30
127;6.0;0;1;30
128;5.0;0;4;30
129;6.0;0;5;30
130;1.0;0;9;30
131;0.0;0;7;30
132;0.0;0;3;30
133;0.0;0;10;30
134;0.0;0;11;30
135;10.0;0;5;31
136;10.0;0;1;31
137;10.0;0;2;31
138;5.0;0;4;31
139;3.0;0;6;31
140;1.0;0;9;31
141;0.0;0;7;31
142;0.0;0;3;31
143;0.0;0;11;31
144;0.0;0;10;31
145;10.0;0;4;32
146;9.0;0;3;32
147;6.0;0;1;32
148;5.0;0;7;32
149;4.0;0;5;32
150;3.0;0;2;32
151;2.0;0;9;32
152;0.0;0;11;32
153;0.0;0;6;32
154;0.0;0;10;32
155;15.0;0;4;33
156;8.0;0;2;33
157;8.0;0;6;33
158;4.0;0;7;33
159;3.0;0;5;33
160;1.0;0;9;33
161;0.0;0;3;33
162;0.0;0;1;33
163;0.0;0;11;33
164;0.0;0;10;33
165;10.0;0;1;34
166;14.0;0;6;34
167;6.0;0;4;34
168;7.0;0;2;34
169;2.0;0;7;34
170;0.0;0;5;34
171;0.0;0;9;34
172;0.0;0;11;34
173;0.0;0;3;34
174;0.0;0;10;34
175;16.0;0;6;35
176;8.0;0;4;35
177;5.0;0;5;35
178;6.0;0;1;35
179;4.0;0;7;35
180;0.0;0;9;35
181;0.0;0;2;35
182;0.0;0;3;35
183;0.0;0;11;35
184;0.0;0;10;35
185;13.0;0;6;36
186;14.0;D;1;36
187;5.0;0;2;36
188;4.0;0;4;36
189;2.0;0;3;36
190;1.0;0;7;36
191;0.0;0;11;36
192;0.0;0;8;36
193;0.0;0;9;36
194;0.0;0;5;36
195;0.0;0;12;36
196;18.0;D;1;37
197;10.0;0;6;37
198;5.0;0;2;37
199;4.0;0;4;37
200;2.0;0;7;37
201;0.0;0;3;37
202;0.0;0;9;37
203;0.0;0;11;37
204;0.0;0;8;37
205;0.0;0;5;37
206;0.0;0;12;37
207;16.0;0;6;38
208;12.0;D;1;38
209;8.0;0;2;38
210;2.0;0;7;38
211;1.0;0;4;38
212;0.0;0;3;38
213;0.0;0;11;38
214;0.0;0;12;38
215;0.0;0;8;38
216;0.0;0;9;38
217;0.0;0;5;38
218;10.0;0;6;39
219;14.0;D;1;39
220;5.0;0;2;39
221;4.0;0;9;39
222;3.0;0;3;39
223;2.0;0;4;39
224;1.0;0;8;39
225;0.0;0;11;39
226;0.0;0;12;39
227;0.0;0;7;39
228;0.0;0;5;39
229;18.0;D;1;40
230;7.0;0;6;40
231;5.0;0;4;40
232;7.0;0;2;40
233;2.0;0;3;40
234;0.0;0;5;40
235;0.0;0;11;40
236;0.0;0;9;40
237;0.0;0;7;40
238;0.0;0;8;40
239;0.0;0;12;40
240;12.0;D;1;41
241;8.0;0;2;41
242;6.0;0;3;41
243;5.0;0;4;41
244;4.0;0;6;41
245;3.0;0;8;41
246;1.0;0;7;41
247;0.0;0;9;41
248;0.0;0;11;41
249;0.0;0;5;41
250;0.0;0;12;41
251;18.0;D;1;42
252;11.0;0;6;42
253;4.0;0;4;42
254;3.0;0;7;42
255;2.0;0;9;42
256;1.0;0;2;42
257;0.0;0;3;42
258;0.0;0;8;42
259;0.0;0;11;42
260;0.0;0;5;42
261;0.0;0;12;42
262;18.0;0;6;43
263;8.0;D;1;43
264;9.0;0;2;43
265;3.0;0;4;43
266;1.0;0;11;43
267;0.0;0;3;43
268;0.0;0;7;43
269;0.0;0;9;43
270;0.0;0;8;43
271;0.0;0;12;43
272;0.0;0;5;43
273;14.0;0;6;44
274;14.0;D;1;44
275;8.0;0;2;44
276;3.0;0;4;44
277;0.0;0;11;44
278;0.0;0;9;44
279;0.0;0;3;44
280;0.0;0;8;44
281;0.0;0;12;44
282;0.0;0;5;44
283;0.0;0;7;44
284;10.0;D;1;45
285;8.0;0;6;45
286;10.0;0;9;45
