constructorStandingsId;points;position;positionText;wins;constructorId;raceId
1;14.0;1;1;1;1;18
2;8.0;3;3;0;2;18
3;9.0;2;2;0;3;18
4;5.0;4;4;0;4;18
5;2.0;5;5;0;5;18
6;1.0;6;6;0;6;18
7;24.0;1;1;1;1;19
8;19.0;2;2;0;2;19
9;9.0;4;4;0;3;19
10;6.0;5;5;0;4;19
11;2.0;8;8;0;5;19
12;11.0;3;3;1;6;19
13;5.0;6;6;0;7;19
14;2.0;7;7;0;9;19
15;0.0;9;9;0;11;19
16;0.0;10;10;0;10;19
17;0.0;11;11;0;8;19
18;28.0;3;3;1;1;20
19;30.0;1;1;0;2;20
20;10.0;4;4;0;3;20
21;6.0;6;6;0;4;20
22;2.0;8;8;0;5;20
23;29.0;2;2;2;6;20
24;8.0;5;5;0;7;20
25;4.0;7;7;0;9;20
26;0.0;9;9;0;11;20
27;0.0;10;10;0;10;20
28;0.0;11;11;0;8;20
29;34.0;3;3;1;1;21
30;35.0;2;2;0;2;21
31;12.0;4;4;0;3;21
32;6.0;7;7;0;4;21
33;2.0;9;9;0;5;21
34;47.0;1;1;3;6;21
35;9.0;5;5;0;7;21
36;8.0;6;6;0;9;21
37;3.0;8;8;0;11;21
38;0.0;10;10;0;10;21
39;0.0;11;11;0;8;21
40;42.0;3;3;1;1;22
41;44.0;2;2;0;2;22
42;13.0;4;4;0;3;22
43;9.0;7;7;0;4;22
44;2.0;9;9;0;5;22
45;63.0;1;1;4;6;22
46;9.0;6;6;0;7;22
47;10.0;5;5;0;9;22
48;3.0;8;8;0;11;22
49;0.0;10;10;0;10;22
50;0.0;11;11;0;8;22
51;53.0;2;2;2;1;23
52;52.0;3;3;0;2;23
53;15.0;4;4;0;3;23
54;9.0;7;7;0;4;23
55;6.0;8;8;0;5;23
56;69.0;1;1;4;6;23
57;9.0;6;6;0;7;23
58;15.0;5;5;0;9;23
59;6.0;9;9;0;11;23
60;0.0;10;10;0;10;23
61;0.0;11;11;0;8;23
62;53.0;3;3;2;1;24
63;70.0;2;2;1;2;24
64;15.0;6;6;0;3;24
65;9.0;7;7;0;4;24
66;7.0;9;9;0;5;24
67;73.0;1;1;4;6;24
68;17.0;5;5;0;7;24
69;21.0;4;4;0;9;24
70;8.0;8;8;0;11;24
71;0.0;10;10;0;10;24
72;0.0;11;11;0;8;24
73;58.0;3;3;2;1;25
74;74.0;2;2;1;2;25
75;15.0;6;6;0;3;25
76;12.0;7;7;0;4;25
77;7.0;9;9;0;5;25
78;91.0;1;1;5;6;25
