qualifyId;number;position;raceId;driverId;constructorId
1;22;1;18;1;1
2;4;2;18;9;2
3;23;3;18;5;1
4;2;4;18;13;6
5;3;5;18;2;2
6;11;6;18;15;7
7;7;7;18;3;3
8;9;8;18;14;9
9;12;9;18;10;7
10;15;10;18;20;5
11;17;11;18;22;11
12;5;12;18;4;4
13;16;13;18;18;11
14;8;14;18;6;3
15;10;15;18;17;9
16;1;16;18;8;6
17;21;17;18;21;10
18;14;18;18;7;5
19;20;19;18;16;10
20;18;20;18;11;8
21;6;21;18;12;4
22;19;22;18;19;8
23;2;1;19;13;6
24;1;2;19;8;6
25;23;3;19;5;1
26;22;4;19;1;1
27;11;5;19;15;7
28;4;6;19;9;2
29;3;7;19;2;2
30;10;8;19;17;9
31;5;9;19;4;4
32;12;10;19;10;7
33;16;11;19;18;11
34;9;12;19;14;9
35;6;13;19;12;4
36;17;14;19;22;11
37;15;15;19;20;5
38;7;16;19;3;3
39;21;17;19;21;10
40;8;18;19;6;3
41;14;19;19;7;5
42;18;20;19;11;8
43;20;21;19;16;10
44;19;22;19;19;8
45;4;1;20;9;2
46;2;2;20;13;6
47;22;3;20;1;1
48;1;4;20;8;6
49;23;5;20;5;1
50;3;6;20;2;2
51;11;7;20;15;7
52;7;8;20;3;3
53;16;9;20;18;11
54;5;10;20;4;4
55;10;11;20;17;9
56;17;12;20;22;11
57;12;13;20;10;7
58;6;14;20;12;4
59;14;15;20;7;5
60;8;16;20;6;3
61;9;17;20;14;9
62;21;18;20;21;10
63;15;19;20;20;5
64;20;20;20;16;10
65;19;21;20;19;8
66;18;22;20;11;8
67;1;1;21;8;6
68;5;2;21;4;4
69;2;3;21;13;6
70;4;4;21;9;2
71;22;5;21;1;1
72;23;6;21;5;1
73;10;7;21;17;9
74;11;8;21;15;7
75;3;9;21;2;2
76;6;10;21;12;4
77;17;11;21;22;11
78;8;12;21;6;3
79;16;13;21;18;11
80;12;14;21;10;7
81;7;15;21;3;3
82;14;16;21;7;5
83;9;17;21;14;9
84;15;18;21;20;5
85;21;19;21;21;10
86;20;20;21;16;10
87;19;21;21;19;8
88;18;22;21;11;8
89;2;1;22;13;6
90;23;2;22;5;1
91;22;3;22;1;1
92;1;4;22;8;6
93;4;5;22;9;2
94;10;6;22;17;9
95;5;7;22;4;4
96;11;8;22;15;7
97;3;9;22;2;2
98;9;10;22;14;9
99;7;11;22;3;3
100;17;12;22;22;11
101;16;13;22;18;11
102;15;14;22;20;5
103;12;15;22;10;7
104;8;16;22;6;3
105;6;17;22;12;4
106;14;18;22;7;5
107;21;19;22;21;10
108;20;20;22;16;10
109;2;1;23;13;6
110;1;2;23;8;6
111;22;3;23;1;1
112;23;4;23;5;1
113;4;5;23;9;2
114;7;6;23;3;3
115;5;7;23;4;4
116;11;8;23;15;7
117;10;9;23;17;9
118;9;10;23;14;9
119;12;11;23;10;7
120;16;12;23;18;11
121;3;13;23;2;2
122;8;14;23;6;3
123;17;15;23;22;11
124;14;16;23;7;5
125;6;17;23;12;4
126;15;18;23;20;5
127;20;19;23;16;10
128;21;20;23;21;10
129;22;1;24;1;1
130;4;2;24;9;2
131;1;3;24;8;6
132;5;4;24;4;4
133;7;5;24;3;3
134;2;6;24;13;6
135;23;7;24;5;1
136;3;8;24;2;2
137;17;9;24;22;11
138;10;10;24;17;9
139;12;11;24;10;7
140;8;12;24;6;3
141;9;13;24;14;9
142;11;14;24;15;7
143;6;15;24;12;4
144;14;16;24;7;5
145;20;17;24;16;10
146;21;18;24;21;10
147;16;19;24;18;11
148;15;20;24;20;5
149;1;1;25;8;6
150;2;2;25;13;6
151;22;3;25;1;1
152;5;4;25;4;4
153;11;5;25;15;7
154;23;6;25;5;1
155;4;7;25;9;2
156;10;8;25;17;9
157;9;9;25;14;9
158;12;10;25;10;7
159;6;11;25;12;4
160;3;12;25;2;2
161;15;13;25;20;5
162;14;14;25;7;5
163;7;15;25;3;3
164;8;16;25;6;3
165;16;17;25;18;11
166;17;18;25;22;11
167;21;19;25;21;10
168;20;20;25;16;10
169;23;1;26;5;1
170;10;2;26;17;9
171;1;3;26;8;6
172;22;4;26;1;1
173;3;5;26;2;2
174;5;6;26;4;4
175;6;7;26;12;4
176;15;8;26;20;5
177;2;9;26;13;6
178;4;10;26;9;2
179;9;11;26;14;9
180;12;12;26;10;7
181;14;13;26;7;5
182;11;14;26;15;7
183;8;15;26;6;3
184;17;16;26;22;11
185;16;17;26;18;11
186;7;18;26;3;3
187;20;19;26;16;10
188;21;20;26;21;10
189;22;1;27;1;1
190;2;2;27;13;6
191;23;3;27;5;1
192;11;4;27;15;7
193;5;5;27;4;4
194;1;6;27;8;6
195;4;7;27;9;2
196;10;8;27;17;9
197;15;9;27;20;5
198;9;10;27;14;9
199;12;11;27;10;7
200;3;12;27;2;2
201;7;13;27;3;3
202;16;14;27;18;11
203;14;15;27;7;5
204;8;16;27;6;3
205;6;17;27;12;4
206;17;18;27;22;11
207;20;19;27;16;10
208;21;20;27;21;10
209;22;1;28;1;1
210;23;2;28;5;1
211;2;3;28;13;6
212;4;4;28;9;2
213;12;5;28;10;7
214;1;6;28;8;6
215;5;7;28;4;4
216;10;8;28;17;9
217;11;9;28;15;7
218;6;10;28;12;4
219;15;11;28;20;5
220;16;12;28;18;11
221;9;13;28;14;9
222;14;14;28;7;5
223;7;15;28;3;3
224;3;16;28;2;2
225;8;17;28;6;3
226;17;18;28;22;11
227;21;19;28;21;10
228;20;20;28;16;10
229;2;1;29;13;6
230;22;2;29;1;1
231;4;3;29;9;2
232;1;4;29;8;6
233;23;5;29;5;1
234;15;6;29;20;5
235;11;7;29;15;7
236;3;8;29;2;2
237;7;9;29;3;3
238;14;10;29;7;5
239;8;11;29;6;3
240;5;12;29;4;4
241;12;13;29;10;7
242;10;14;29;17;9
243;6;15;29;12;4
244;16;16;29;18;11
245;9;17;29;14;9
246;21;18;29;21;10
247;17;19;29;22;11
248;20;20;29;16;10
249;22;1;30;1;1
250;2;2;30;13;6
251;23;3;30;5;1
252;1;4;30;8;6
253;3;5;30;2;2
254;5;6;30;4;4
255;10;7;30;17;9
256;4;8;30;9;2
257;14;9;30;7;5
258;15;10;30;20;5
259;11;11;30;15;7
260;6;12;30;12;4
261;12;13;30;10;7
262;9;14;30;14;9
263;7;15;30;3;3
264;17;16;30;22;11
265;16;17;30;18;11
266;20;18;30;16;10
267;8;19;30;6;3
268;21;20;30;21;10
269;15;1;31;20;5
270;23;2;31;5;1
271;10;3;31;17;9
272;14;4;31;7;5
273;7;5;31;3;3
274;2;6;31;13;6
275;11;7;31;15;7
276;5;8;31;4;4
277;12;9;31;10;7
278;3;10;31;2;2
279;4;11;31;9;2
280;21;12;31;21;10
281;9;13;31;14;9
282;1;14;31;8;6
283;22;15;31;1;1
284;17;16;31;22;11
285;6;17;31;12;4
286;8;18;31;6;3
287;16;19;31;18;11
288;20;20;31;16;10
289;2;1;32;13;6
290;22;2;32;1;1
291;1;3;32;8;6
292;4;4;32;9;2
293;23;5;32;5;1
294;3;6;32;2;2
295;15;7;32;20;5
296;12;8;32;10;7
297;7;9;32;3;3
298;8;10;32;6;3
299;11;11;32;15;7
300;16;12;32;18;11
301;10;13;32;17;9
302;9;14;32;14;9
303;5;15;32;4;4
304;6;16;32;12;4
305;14;17;32;7;5
306;17;18;32;22;11
307;20;19;32;16;10
308;21;20;32;21;10
309;22;1;33;1;1
310;1;2;33;8;6
311;23;3;33;5;1
312;5;4;33;4;4
313;2;5;33;13;6
314;4;6;33;9;2
315;11;7;33;15;7
316;12;8;33;10;7
317;15;9;33;20;5
318;14;10;33;7;5
319;9;11;33;14;9
320;6;12;33;12;4
321;10;13;33;17;9
322;8;14;33;6;3
323;7;15;33;3;3
324;3;16;33;2;2
325;17;17;33;22;11
326;16;18;33;18;11
327;20;19;33;16;10
328;21;20;33;21;10
329;22;1;34;1;1
330;1;2;34;8;6
331;2;3;34;13;6
332;5;4;34;4;4
333;23;5;34;5;1
334;10;6;34;17;9
335;3;7;34;2;2
336;15;8;34;20;5
337;11;9;34;15;7
338;14;10;34;7;5
339;6;11;34;12;4
340;4;12;34;9;2
341;12;13;34;10;7
342;17;14;34;22;11
343;7;15;34;3;3
344;9;16;34;14;9
345;8;17;34;6;3
346;16;18;34;18;11
347;20;19;34;16;10
348;21;20;34;21;10
349;2;1;35;13;6
350;11;2;35;15;7
351;1;3;35;8;6
352;22;4;35;1;1
353;23;5;35;5;1
354;5;6;35;4;4
355;15;7;35;20;5
356;3;8;35;2;2
357;14;9;35;7;5
358;12;10;35;10;7
359;6;11;35;12;4
360;10;12;35;17;9
361;4;13;35;9;2
362;9;14;35;14;9
363;17;15;35;22;11
364;8;16;35;6;3
365;16;17;35;18;11
366;7;18;35;3;3
367;21;19;35;21;10
368;20;20;35;16;10
369;6;1;36;8;6
370;1;2;36;4;1
371;9;3;36;2;2
372;2;4;36;1;1
373;10;5;36;9;2
374;3;6;36;21;4
375;15;7;36;17;9
376;12;8;36;15;7
377;11;9;36;23;7
378;22;10;36;11;8
379;23;11;36;19;8
380;16;12;36;3;3
381;4;13;36;5;4
382;7;14;36;18;11
383;17;15;36;25;3
384;5;16;36;13;6
385;8;17;36;22;11
386;19;18;36;26;5
387;14;19;36;14;9
388;18;20;36;24;5
389;20;21;36;16;12
390;21;22;36;27;12
391;5;1;37;13;6
392;1;2;37;4;1
393;6;3;37;8;6
394;2;4;37;1;1
395;9;5;37;2;2
396;16;6;37;3;3
397;10;7;37;9;2
398;12;8;37;15;7
399;11;9;37;23;7
400;15;10;37;17;9
401;4;11;37;5;4
402;3;12;37;21;4
403;14;13;37;14;9
404;22;14;37;11;8
405;7;15;37;18;11
406;18;16;37;24;5
407;19;17;37;26;5
408;23;18;37;19;8
409;8;19;37;22;11
410;17;20;37;25;3
411;21;21;37;27;12
412;20;22;37;16;12
413;5;1;38;13;6
414;2;2;38;1;1
415;6;3;38;8;6
416;1;4;38;4;1
417;9;5;38;2;2
418;10;6;38;9;2
419;3;7;38;21;4
420;15;8;38;17;9
421;12;9;38;15;7
422;16;10;38;3;3
423;17;11;38;25;3
424;4;12;38;5;4
425;23;13;38;19;8
426;11;14;38;23;7
427;8;15;38;22;11
428;7;16;38;18;11
429;22;17;38;11;8
430;18;18;38;24;5
431;19;19;38;26;5
432;20;20;38;16;12
433;14;21;38;14;9
434;12;22;38;27;12
435;5;1;39;13;6
436;1;2;39;4;1
437;6;3;39;8;6
438;2;4;39;1;1
439;10;5;39;9;2
440;12;6;39;15;7
441;9;7;39;2;2
442;4;8;39;5;4
443;14;9;39;14;9
444;3;10;39;21;4
445;16;11;39;3;3
446;8;12;39;22;11
447;22;13;39;11;8
448;7;14;39;18;11
449;23;15;39;19;8
450;18;16;39;24;5
451;11;17;39;23;7
452;17;18;39;25;3
453;15;19;39;17;9
454;20;20;39;16;12
455;21;21;39;27;12
456;19;22;39;26;5
457;1;1;40;4;1
458;2;2;40;1;1
459;5;3;40;13;6
460;3;4;40;21;4
461;16;5;40;3;3
462;15;6;40;17;9
463;9;7;40;2;2
464;10;8;40;9;2
465;8;9;40;22;11
466;7;10;40;18;11
467;17;11;40;25;3
468;18;12;40;24;5
469;14;13;40;14;9
470;12;14;40;15;7
471;4;15;40;5;4
472;6;16;40;8;6
473;23;17;40;19;8
474;19;18;40;26;5
475;20;19;40;16;12
476;11;20;40;23;7
477;22;21;40;11;8
478;21;22;40;27;12
479;2;1;41;1;1
480;1;2;41;4;1
481;9;3;41;2;2
482;6;4;41;8;6
483;5;5;41;13;6
484;15;6;41;17;9
485;16;7;41;3;3
486;10;8;41;9;2
487;3;9;41;21;4
488;12;10;41;15;7
489;22;11;41;11;8
490;18;12;41;24;5
491;8;13;41;22;11
492;14;14;41;14;9
493;7;15;41;18;11
494;19;16;41;26;5
495;23;17;41;19;8
496;11;18;41;23;7
497;17;19;41;25;3
498;20;20;41;16;12
499;21;21;41;27;12
500;4;22;41;5;4
501;2;1;42;1;1
502;1;2;42;4;1
503;5;3;42;13;6
504;6;4;42;8;6
505;9;5;42;2;2
506;4;6;42;5;4
507;10;7;42;20;2
508;12;8;42;15;7
509;15;9;42;17;9
510;3;10;42;21;4
511;14;11;42;14;9
512;11;12;42;23;7
513;7;13;42;18;11
514;16;14;42;3;3
515;8;15;42;22;11
516;23;16;42;19;8
517;17;17;42;25;3
518;22;18;42;11;8
519;18;19;42;24;5
520;19;20;42;26;5
521;20;21;42;16;12
522;21;22;42;27;12
523;5;1;43;13;6
524;2;2;43;1;1
525;6;3;43;8;6
526;10;4;43;9;2
527;3;5;43;21;4
528;4;6;43;5;4
529;9;7;43;2;2
530;12;8;43;15;7
531;16;9;43;3;3
532;1;10;43;4;1
533;11;11;43;23;7
534;7;12;43;18;11
535;8;13;43;22;11
536;15;14;43;17;9
537;19;15;43;26;5
538;14;16;43;14;9
539;18;17;43;24;5
540;17;18;43;25;3
541;23;19;43;19;8
542;21;20;43;27;12
543;20;21;43;16;12
544;22;22;43;11;8
545;2;1;44;1;1
546;6;2;44;8;6
547;1;3;44;4;1
548;5;4;44;13;6
549;10;5;44;9;2
550;11;6;44;23;7
551;4;7;44;5;4
552;3;8;44;21;4
553;9;9;44;2;2
554;12;10;44;15;7
555;15;11;44;17;9
556;14;12;44;14;9
557;17;13;44;25;3
558;8;14;44;22;11
559;19;15;44;26;5
560;18;16;44;24;5
561;16;17;44;3;3
562;7;18;44;18;11
563;23;19;44;19;8
564;20;20;44;16;12
565;22;21;44;11;8
566;21;22;44;27;12
567;6;1;45;8;6
568;1;2;45;4;1
569;5;3;45;13;6
570;9;4;45;2;2
571;10;5;45;9;2
572;15;6;45;17;9
573;4;7;45;5;4
574;12;8;45;15;7
575;11;9;45;23;7
576;2;10;45;1;1
577;16;11;45;3;3
578;17;12;45;25;3
579;3;13;45;21;4
580;8;14;45;22;11
581;23;15;45;19;8
582;22;16;45;11;8
583;7;17;45;18;11
584;19;18;45;26;5
585;18;19;45;24;5
586;14;20;45;14;9
587;20;21;45;16;12
588;21;22;45;28;12
589;1;1;46;4;1
590;2;2;46;1;1
591;9;3;46;2;2
592;6;4;46;8;6
593;16;5;46;3;3
594;11;6;46;23;7
595;10;7;46;9;2
596;3;8;46;21;4
597;12;9;46;15;7
598;15;10;46;17;9
599;14;11;46;14;9
600;4;12;46;5;4
601;17;13;46;25;3
602;5;14;46;13;6
603;23;15;46;19;8
604;18;16;46;24;5
605;7;17;46;18;11
606;8;18;46;22;11
607;22;19;46;11;8
608;19;20;46;20;5
609;20;21;46;16;12
610;21;22;46;29;12
611;5;1;47;13;6
612;2;2;47;1;1
613;6;3;47;8;6
614;1;4;47;4;1
615;10;5;47;9;2
616;9;6;47;2;2
617;4;7;47;5;4
618;16;8;47;3;3
619;12;9;47;15;7
620;3;10;47;21;4
621;23;11;47;19;8
622;15;12;47;17;9
623;14;13;47;14;9
624;17;14;47;25;3
625;18;15;47;24;5
626;11;16;47;23;7
627;22;17;47;11;8
628;19;18;47;20;5
629;20;19;47;16;12
630;21;20;47;29;12
631;7;21;47;18;11
632;8;22;47;22;11
633;1;1;48;4;1
634;2;2;48;1;1
635;5;3;48;13;6
636;9;4;48;2;2
637;6;5;48;8;6
638;10;6;48;9;2
639;4;7;48;5;4
640;16;8;48;3;3
641;12;9;48;15;7
642;7;10;48;18;11
643;15;11;48;17;9
644;8;12;48;22;11
645;17;13;48;25;3
646;23;14;48;19;8
647;3;15;48;21;4
648;19;16;48;20;5
649;22;17;48;11;8
650;11;18;48;23;7
651;18;19;48;24;5
652;14;20;48;14;9
653;20;21;48;16;12
654;21;22;48;29;12
655;6;1;49;8;6
656;5;2;49;13;6
657;1;3;49;4;1
658;2;4;49;1;1
659;16;5;49;3;3
660;9;6;49;2;2
661;15;7;49;17;9
662;12;8;49;15;7
663;4;9;49;5;4
664;11;10;49;23;7
665;14;11;49;14;9
666;7;12;49;18;11
667;18;13;49;24;5
668;10;14;49;9;2
669;17;15;49;25;3
670;19;16;49;20;5
671;8;17;49;22;11
672;22;18;49;11;8
673;20;19;49;16;12
674;23;20;49;19;8
675;21;21;49;29;12
676;3;22;49;21;4
677;2;1;50;1;1
678;1;2;50;4;1
679;6;3;50;8;6
680;5;4;50;13;6
681;9;5;50;2;2
682;7;6;50;18;11
683;15;7;50;17;9
684;19;8;50;20;5
685;10;9;50;9;2
686;3;10;50;21;4
687;4;11;50;5;4
688;14;12;50;14;9
689;12;13;50;15;7
690;18;14;50;24;5
691;11;15;50;23;7
692;16;16;50;3;3
693;8;17;50;22;11
694;17;18;50;25;3
695;23;19;50;19;8
696;20;20;50;16;12
697;22;21;50;11;8
698;21;22;50;29;12
699;2;1;51;1;1
700;6;2;51;8;6
701;5;3;51;13;6
702;1;4;51;4;1
703;14;5;51;14;9
704;11;6;51;23;7
705;15;7;51;17;9
706;9;8;51;2;2
707;10;9;51;9;2
708;7;10;51;18;11
709;18;11;51;24;5
710;12;12;51;15;7
