id;q1;qualifyId
0;1:26.572;1
1;1:26.103;2
2;1:25.664;3
3;1:25.994;4
4;1:25.960;5
5;1:26.427;6
6;1:26.295;7
7;1:26.381;8
8;1:26.919;9
9;1:26.702;10
10;1:26.369;11
11;1:26.907;12
12;1:26.712;13
13;1:26.891;14
14;1:26.914;15
15;1:26.140;16
16;1:27.207;17
17;1:27.446;18
18;1:27.859;19
19;1:28.208;20
20;1:28.330;21
21;1:29.059;22
22;1:35.347;23
23;1:35.645;24
24;1:35.227;25
25;1:35.392;26
26;1:35.205;27
27;1:35.794;28
28;1:35.729;29
29;1:35.440;30
30;1:35.983;31
31;1:35.891;32
32;1:35.847;33
33;1:36.058;34
34;1:36.074;35
35;1:36.198;36
36;1:36.111;37
37;1:35.843;38
38;1:36.240;39
39;1:36.388;40
40;1:36.677;41
41;1:37.087;42
42;1:37.101;43
43;1:37.481;44
44;1:32.893;45
45;1:31.937;46
46;1:32.750;47
47;1:32.652;48
48;1:33.057;49
49;1:33.137;50
50;1:32.493;51
51;1:32.903;52
52;1:32.793;53
53;1:32.947;54
54;1:33.194;55
55;1:32.944;56
56;1:32.800;57
57;1:32.975;58
58;1:33.415;59
59;1:33.386;60
60;1:33.433;61
61;1:33.501;62
62;1:33.562;63
63;1:33.845;64
64;1:34.140;65
65;1:35.725;66
66;1:20.701;67
67;1:21.347;68
68;1:21.528;69
69;1:21.423;70
70;1:21.366;71
71;1:21.430;72
72;1:21.494;73
73;1:21.158;74
74;1:21.466;75
75;1:21.409;76
76;1:21.548;77
77;1:21.690;78
78;1:21.757;79
79;1:21.427;80
80;1:21.472;81
81;1:21.540;82
82;1:21.810;83
83;1:22.108;84
84;1:22.516;85
85;1:23.224;86
86;1:23.318;87
87;1:23.496;88
88;1:25.994;89
89;1:26.736;90
90;1:26.192;91
91;1:26.457;92
92;1:26.761;93
93;1:26.773;94
94;1:26.836;95
95;1:26.695;96
96;1:27.107;97
97;1:26.939;98
98;1:27.367;99
