id;fastestLap;rank;fastestLapTime;fastestLapSpeed;resultId
0;39;2;1:27.452;218.300;1
1;41;3;1:27.739;217.586;2
2;41;5;1:28.090;216.719;3
3;58;7;1:28.603;215.464;4
4;43;1;1:27.418;218.385;5
5;50;14;1:29.639;212.974;6
6;22;12;1:29.534;213.224;7
7;20;4;1:27.903;217.180;8
8;15;9;1:28.753;215.100;9
9;23;13;1:29.558;213.166;10
10;24;15;1:30.892;210.038;11
11;20;16;1:31.384;208.907;12
12;23;6;1:28.175;216.510;13
13;21;11;1:29.502;213.300;14
14;18;10;1:29.310;213.758;15
15;8;17;1:32.021;207.461;16
21;44;8;1:28.736;215.141;22
22;37;2;1:35.405;209.158;23
23;39;6;1:35.921;208.033;24
24;19;7;1:35.922;208.031;25
25;53;8;1:36.068;207.715;26
26;53;3;1:35.462;209.033;27
27;55;1;1:35.366;209.244;28
28;53;12;1:36.696;206.366;29
29;40;10;1:36.288;207.240;30
30;55;9;1:36.206;207.417;31
31;56;4;1:35.715;208.481;32
32;52;15;1:36.956;205.812;33
33;52;16;1:36.962;205.800;34
34;55;11;1:36.693;206.372;35
35;55;13;1:36.782;206.182;36
36;55;18;1:38.171;203.265;37
37;53;19;1:38.504;202.578;38
38;19;17;1:37.711;204.222;39
39;37;14;1:36.870;205.995;40
40;15;5;1:35.914;208.048;41
41;3;20;1:40.330;198.891;42
44;38;3;1:33.600;208.153;45
45;35;4;1:33.709;207.911;46
46;55;5;1:33.775;207.765;47
47;48;2;1:33.565;208.231;48
48;49;1;1:33.193;209.062;49
49;45;7;1:34.204;206.819;50
50;51;8;1:34.305;206.597;51
51;57;6;1:34.072;207.109;52
52;56;9;1:34.807;205.503;53
53;35;13;1:35.194;204.668;54
54;40;10;1:34.855;205.399;55
55;56;11;1:35.057;204.963;56
56;25;19;1:35.520;203.969;57
57;30;17;1:35.433;204.155;58
58;33;15;1:35.333;204.369;59
59;45;14;1:35.324;204.389;60
60;56;20;1:35.891;203.180;61
61;43;16;1:35.351;204.331;62
62;55;18;1:35.442;204.136;63
63;31;12;1:35.129;204.808;64
64;11;21;1:36.125;202.686;65
66;46;1;1:21.670;205.191;67
67;45;2;1:21.801;204.863;68
68;20;3;1:22.017;204.323;69
69;20;4;1:22.106;204.102;70
70;19;8;1:22.564;202.969;71
71;66;5;1:22.353;203.489;72
72;48;15;1:23.549;200.576;73
73;45;10;1:22.758;202.494;74
74;21;7;1:22.519;203.080;75
75;40;14;1:23.439;200.841;76
76;57;12;1:23.007;201.886;77
77;57;11;1:22.842;202.288;78
78;34;17;1:24.617;198.045;79
79;20;13;1:23.319;201.130;80
80;15;9;1:22.683;202.677;81
81;21;16;1:23.858;199.837;82
82;19;6;1:22.453;203.243;83
83;6;20;1:26.864;192.922;84
84;6;19;1:25.999;194.862;85
85;6;18;1:25.444;196.128;86
88;16;3;1:26.666;221.734;89
89;31;2;1:26.529;222.085;90
90;20;1;1:26.506;222.144;91
91;17;4;1:26.780;221.442;92
92;20;5;1:27.219;220.328;93
93;57;6;1:27.280;220.174;94
94;14;7;1:27.630;219.294;95
95;55;9;1:27.795;218.882;96
96;41;12;1:27.966;218.457;97
97;52;11;1:27.926;218.556;98
98;57;13;1:27.998;218.377;99
99;55;8;1:27.640;219.269;100
100;28;16;1:28.303;217.623;101
101;56;14;1:28.017;218.330;102
102;40;10;1:27.867;218.703;103
103;35;18;1:28.780;216.454;104
104;38;15;1:28.180;217.926;105
105;19;17;1:28.745;216.539;106
108;71;6;1:18.510;153.152;109
109;75;5;1:17.933;154.286;110
110;76;4;1:17.886;154.379;111
111;74;8;1:19.036;152.133;112
112;74;7;1:18.787;152.614;113
113;75;9;1:19.574;151.104;114
114;75;13;1:19.910;150.469;115
115;74;2;1:17.282;155.586;116
116;74;1;1:16.689;156.789;117
117;73;3;1:17.869;154.413;118
118;74;10;1:19.582;151.089;119
119;75;11;1:19.618;151.021;120
120;75;12;1:19.830;150.620;121
121;72;14;1:20.251;149.829;122
122;60;16;1:22.039;146.564;123
123;58;15;1:21.270;147.951;124
124;40;17;1:31.187;131.860;125
125;33;18;1:32.849;129.500;126
126;7;20;1:42.112;117.753;127
127;7;19;1:41.150;118.872;128
128;47;4;1:17.539;202.473;129
129;25;2;1:17.430;202.758;130
130;36;7;1:18.085;201.057;131
131;31;17;1:19.087;198.510;132
132;11;6;1:18.006;201.261;133
133;38;15;1:18.870;199.056;134
134;35;10;1:18.301;200.503;135
135;33;12;1:18.532;199.913;136
136;62;11;1:18.462;200.091;137
137;14;5;1:17.977;201.336;138
138;58;19;1:19.352;197.847;139
139;51;8;1:18.201;200.759;140
140;34;13;1:18.620;199.689;141
141;41;16;1:19.066;198.563;142
142;30;14;1:18.784;199.273;143
143;16;9;1:18.225;200.697;144
144;16;18;1:19.239;198.129;145
145;14;1;1:17.387;202.871;146
146;4;3;1:17.506;202.559;147
147;7;20;1:20.666;194.624;148
148;20;2;1:16.729;206.956;149
149;16;1;1:16.630;207.224;150
150;12;7;1:17.567;204.721;151
151;46;3;1:17.134;205.870;152
152;16;4;1:17.172;205.768;153
153;22;6;1:17.507;204.879;154
154;24;10;1:17.758;204.218;155
155;39;8;1:17.641;204.525;156
156;23;12;1:17.818;204.060;157
157;40;5;1:17.453;205.022;158
158;45;13;1:17.836;204.013;159
159;36;11;1:17.760;204.212;160
160;46;9;1:17.716;204.328;161
161;54;14;1:17.969;203.665;162
162;60;15;1:18.054;203.443;163
163;38;17;1:18.311;202.776;164
164;28;16;1:18.216;203.022;165
165;53;19;1:18.557;202.141;166
166;41;18;1:18.462;202.385;167
167;15;20;1:20.876;196.345;168
168;16;3;1:32.817;199.398;169
