ID;type;fp_date;fp_time;raceId
1;1;2022-03-18;12:00:00;1074
2;1;2022-03-25;14:00:00;1075
3;1;2022-04-08;03:00:00;1076
4;1;2022-04-22;11:30:00;1077
5;1;2022-05-06;18:30:00;1078
6;1;2022-05-20;12:00:00;1079
7;1;2022-05-27;12:00:00;1080
8;1;2022-06-10;11:00:00;1081
9;1;2022-06-17;18:00:00;1082
10;1;2022-07-01;12:00:00;1083
11;1;2022-07-08;11:30:00;1084
12;1;2022-07-22;12:00:00;1085
13;1;2022-07-29;12:00:00;1086
14;1;2022-08-26;12:00:00;1087
15;1;2022-09-02;10:30:00;1088
16;1;2022-09-09;12:00:00;1089
17;1;2022-09-30;10:00:00;1091
18;1;2022-10-07;03:00:00;1092
19;1;2022-10-21;19:00:00;1093
20;1;2022-10-28;18:00:00;1094
21;1;2022-11-11;15:30:00;1095
22;1;2022-11-18;10:00:00;1096
23;1;2023-03-03;11:30:00;1098
24;1;2023-03-17;13:30:00;1099
25;1;2023-03-31;01:30:00;1100
26;1;2023-04-28;09:30:00;1101
27;1;2023-05-05;18:00:00;1102
28;1;2023-05-26;11:30:00;1104
29;1;2023-06-02;11:30:00;1105
30;1;2023-06-16;17:30:00;1106
31;1;2023-06-30;11:30:00;1107
32;1;2023-07-07;11:30:00;1108
33;1;2023-07-21;11:30:00;1109
34;1;2023-07-28;11:30:00;1110
35;1;2023-08-25;10:30:00;1111
36;1;2023-09-01;11:30:00;1112
37;1;2023-09-15;09:30:00;1113
38;1;2023-09-22;02:30:00;1114
39;1;2023-10-06;10:30:00;1115
40;1;2023-10-20;17:30:00;1116
41;1;2023-10-27;18:30:00;1117
42;1;2023-11-03;14:30:00;1118
43;1;2023-11-17;04:30:00;1119
44;1;2023-11-24;09:30:00;1120
45;2;2022-03-18;15:00:00;1074
46;2;2022-03-25;17:00:00;1075
47;2;2022-04-08;06:00:00;1076
48;2;2022-04-23;10:30:00;1077
49;2;2022-05-06;21:30:00;1078
50;2;2022-05-20;15:00:00;1079
51;2;2022-05-27;15:00:00;1080
52;2;2022-06-10;14:00:00;1081
53;2;2022-06-17;21:00:00;1082
54;2;2022-07-01;15:00:00;1083
55;2;2022-07-09;10:30:00;1084
56;2;2022-07-22;15:00:00;1085
57;2;2022-07-29;15:00:00;1086
58;2;2022-08-26;15:00:00;1087
59;2;2022-09-02;14:00:00;1088
60;2;2022-09-09;15:00:00;1089
61;2;2022-09-30;13:00:00;1091
62;2;2022-10-07;06:00:00;1092
63;2;2022-10-21;22:00:00;1093
64;2;2022-10-28;21:00:00;1094
65;2;2022-11-12;15:30:00;1095
66;2;2022-11-18;13:00:00;1096
67;2;2023-03-03;15:00:00;1098
68;2;2023-03-17;17:00:00;1099
69;2;2023-03-31;05:00:00;1100
70;2;2023-04-29;09:30:00;1101
71;2;2023-05-05;21:30:00;1102
72;2;2023-05-26;15:00:00;1104
73;2;2023-06-02;15:00:00;1105
74;2;2023-06-16;21:00:00;1106
75;2;2023-07-01;10:30:00;1107
76;2;2023-07-07;15:00:00;1108
77;2;2023-07-21;15:00:00;1109
78;2;2023-07-29;10:30:00;1110
79;2;2023-08-25;14:00:00;1111
80;2;2023-09-01;15:00:00;1112
81;2;2023-09-15;13:00:00;1113
82;2;2023-09-22;06:00:00;1114
83;2;2023-10-07;10:30:00;1115
84;2;2023-10-21;18:00:00;1116
85;2;2023-10-27;22:00:00;1117
86;2;2023-11-04;14:30:00;1118
87;2;2023-11-17;08:00:00;1119
88;2;2023-11-24;13:00:00;1120
89;3;2022-03-19;12:00:00;1074
90;3;2022-03-26;14:00:00;1075
91;3;2022-04-09;03:00:00;1076
92;3;2022-05-07;17:00:00;1078
93;3;2022-05-21;11:00:00;1079
94;3;2022-05-28;11:00:00;1080
95;3;2022-06-11;11:00:00;1081
96;3;2022-06-18;17:00:00;1082
97;3;2022-07-02;11:00:00;1083
98;3;2022-07-23;11:00:00;1085
99;3;2022-07-30;11:00:00;1086
100;3;2022-08-27;11:00:00;1087
101;3;2022-09-03;10:00:00;1088
102;3;2022-09-10;11:00:00;1089
103;3;2022-10-01;10:00:00;1091
104;3;2022-10-08;03:00:00;1092
105;3;2022-10-22;19:00:00;1093
106;3;2022-10-29;17:00:00;1094
107;3;2022-11-19;11:00:00;1096
108;3;2023-03-04;11:30:00;1098
109;3;2023-03-18;13:30:00;1099
110;3;2023-04-01;01:30:00;1100
111;3;2023-05-06;16:30:00;1102
112;3;2023-05-27;10:30:00;1104
113;3;2023-06-03;10:30:00;1105
114;3;2023-06-17;16:30:00;1106
115;3;2023-07-08;10:30:00;1108
116;3;2023-07-22;10:30:00;1109
117;3;2023-08-26;09:30:00;1111
118;3;2023-09-02;10:30:00;1112
119;3;2023-09-16;09:30:00;1113
120;3;2023-09-23;02:30:00;1114
121;3;2023-10-28;17:30:00;1117
122;3;2023-11-18;04:30:00;1119
123;3;2023-11-25;10:30:00;1120
