raceId;year;round;name;date;time;url;circuitId
1;2009;1;Australian Grand Prix;2009-03-29;06:00:00;http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix;1
2;2009;2;Malaysian Grand Prix;2009-04-05;09:00:00;http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix;2
3;2009;3;Chinese Grand Prix;2009-04-19;07:00:00;http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix;17
4;2009;4;Bahrain Grand Prix;2009-04-26;12:00:00;http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix;3
5;2009;5;Spanish Grand Prix;2009-05-10;12:00:00;http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix;4
6;2009;6;Monaco Grand Prix;2009-05-24;12:00:00;http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix;6
7;2009;7;Turkish Grand Prix;2009-06-07;12:00:00;http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix;5
8;2009;8;British Grand Prix;2009-06-21;12:00:00;http://en.wikipedia.org/wiki/2009_British_Grand_Prix;9
9;2009;9;German Grand Prix;2009-07-12;12:00:00;http://en.wikipedia.org/wiki/2009_German_Grand_Prix;20
10;2009;10;Hungarian Grand Prix;2009-07-26;12:00:00;http://en.wikipedia.org/wiki/2009_Hungarian_Grand_Prix;11
11;2009;11;European Grand Prix;2009-08-23;12:00:00;http://en.wikipedia.org/wiki/2009_European_Grand_Prix;12
12;2009;12;Belgian Grand Prix;2009-08-30;12:00:00;http://en.wikipedia.org/wiki/2009_Belgian_Grand_Prix;13
13;2009;13;Italian Grand Prix;2009-09-13;12:00:00;http://en.wikipedia.org/wiki/2009_Italian_Grand_Prix;14
14;2009;14;Singapore Grand Prix;2009-09-27;12:00:00;http://en.wikipedia.org/wiki/2009_Singapore_Grand_Prix;15
15;2009;15;Japanese Grand Prix;2009-10-04;05:00:00;http://en.wikipedia.org/wiki/2009_Japanese_Grand_Prix;22
16;2009;16;Brazilian Grand Prix;2009-10-18;16:00:00;http://en.wikipedia.org/wiki/2009_Brazilian_Grand_Prix;18
17;2009;17;Abu Dhabi Grand Prix;2009-11-01;11:00:00;http://en.wikipedia.org/wiki/2009_Abu_Dhabi_Grand_Prix;24
18;2008;1;Australian Grand Prix;2008-03-16;04:30:00;http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix;1
19;2008;2;Malaysian Grand Prix;2008-03-23;07:00:00;http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix;2
20;2008;3;Bahrain Grand Prix;2008-04-06;11:30:00;http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix;3
21;2008;4;Spanish Grand Prix;2008-04-27;12:00:00;http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix;4
22;2008;5;Turkish Grand Prix;2008-05-11;12:00:00;http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix;5
23;2008;6;Monaco Grand Prix;2008-05-25;12:00:00;http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix;6
24;2008;7;Canadian Grand Prix;2008-06-08;17:00:00;http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix;7
25;2008;8;French Grand Prix;2008-06-22;12:00:00;http://en.wikipedia.org/wiki/2008_French_Grand_Prix;8
26;2008;9;British Grand Prix;2008-07-06;12:00:00;http://en.wikipedia.org/wiki/2008_British_Grand_Prix;9
27;2008;10;German Grand Prix;2008-07-20;12:00:00;http://en.wikipedia.org/wiki/2008_German_Grand_Prix;10
28;2008;11;Hungarian Grand Prix;2008-08-03;12:00:00;http://en.wikipedia.org/wiki/2008_Hungarian_Grand_Prix;11
29;2008;12;European Grand Prix;2008-08-24;12:00:00;http://en.wikipedia.org/wiki/2008_European_Grand_Prix;12
30;2008;13;Belgian Grand Prix;2008-09-07;12:00:00;http://en.wikipedia.org/wiki/2008_Belgian_Grand_Prix;13
31;2008;14;Italian Grand Prix;2008-09-14;12:00:00;http://en.wikipedia.org/wiki/2008_Italian_Grand_Prix;14
32;2008;15;Singapore Grand Prix;2008-09-28;12:00:00;http://en.wikipedia.org/wiki/2008_Singapore_Grand_Prix;15
33;2008;16;Japanese Grand Prix;2008-10-12;04:30:00;http://en.wikipedia.org/wiki/2008_Japanese_Grand_Prix;16
34;2008;17;Chinese Grand Prix;2008-10-19;07:00:00;http://en.wikipedia.org/wiki/2008_Chinese_Grand_Prix;17
35;2008;18;Brazilian Grand Prix;2008-11-02;17:00:00;http://en.wikipedia.org/wiki/2008_Brazilian_Grand_Prix;18
36;2007;1;Australian Grand Prix;2007-03-18;03:00:00;http://en.wikipedia.org/wiki/2007_Australian_Grand_Prix;1
37;2007;2;Malaysian Grand Prix;2007-04-08;07:00:00;http://en.wikipedia.org/wiki/2007_Malaysian_Grand_Prix;2
38;2007;3;Bahrain Grand Prix;2007-04-15;11:30:00;http://en.wikipedia.org/wiki/2007_Bahrain_Grand_Prix;3
39;2007;4;Spanish Grand Prix;2007-05-13;12:00:00;http://en.wikipedia.org/wiki/2007_Spanish_Grand_Prix;4
40;2007;5;Monaco Grand Prix;2007-05-27;12:00:00;http://en.wikipedia.org/wiki/2007_Monaco_Grand_Prix;6
41;2007;6;Canadian Grand Prix;2007-06-10;17:00:00;http://en.wikipedia.org/wiki/2007_Canadian_Grand_Prix;7
42;2007;7;United States Grand Prix;2007-06-17;17:00:00;http://en.wikipedia.org/wiki/2007_United_States_Grand_Prix;19
43;2007;8;French Grand Prix;2007-07-01;12:00:00;http://en.wikipedia.org/wiki/2007_French_Grand_Prix;8
44;2007;9;British Grand Prix;2007-07-08;12:00:00;http://en.wikipedia.org/wiki/2007_British_Grand_Prix;9
45;2007;10;European Grand Prix;2007-07-22;12:00:00;http://en.wikipedia.org/wiki/2007_European_Grand_Prix;20
46;2007;11;Hungarian Grand Prix;2007-08-05;12:00:00;http://en.wikipedia.org/wiki/2007_Hungarian_Grand_Prix;11
47;2007;12;Turkish Grand Prix;2007-08-26;12:00:00;http://en.wikipedia.org/wiki/2007_Turkish_Grand_Prix;5
