stop;lap;milliseconds;raceId;driverId
1;1;26898;841;153
1;1;25021;841;30
1;11;23426;841;17
1;12;23251;841;4
1;13;23842;841;13
1;13;23643;841;22
1;14;22603;841;20
1;14;24863;841;814
1;14;25259;841;816
1;15;25342;841;67
1;15;22994;841;2
1;16;23227;841;1
1;16;24535;841;808
1;16;23716;841;3
1;16;24064;841;155
1;16;25978;841;16
1;16;24899;841;15
1;17;16867;841;18
2;17;24463;841;153
1;17;24865;841;5
2;17;23988;841;30
1;18;23792;841;10
2;19;23303;841;18
1;23;23438;841;815
2;23;37856;841;22
2;26;22520;841;17
2;27;24733;841;4
3;28;16892;841;22
2;29;23100;841;67
2;30;25098;841;2
2;31;24500;841;13
2;32;24192;841;155
2;36;24036;841;20
2;36;23199;841;1
3;35;26348;841;153
2;36;25683;841;808
2;36;24332;841;814
3;37;22681;841;18
2;37;23871;841;16
2;37;24848;841;15
2;38;26446;841;816
3;41;26230;841;17
4;40;26309;841;22
3;42;24181;841;4
3;48;24095;841;13
1;3;31694;842;16
1;3;32978;842;22
1;10;22572;842;17
1;11;22773;842;814
1;12;22552;842;1
1;13;23019;842;20
1;13;23900;842;2
1;13;22400;842;18
1;13;29224;842;13
1;13;25516;842;15
1;14;23152;842;4
1;14;22576;842;30
1;15;23182;842;808
1;15;23280;842;67
1;15;24967;842;3
1;15;29084;842;5
1;16;23584;842;153
2;16;22046;842;16
1;17;23280;842;155
1;17;23597;842;815
1;17;24617;842;10
1;17;26252;842;816
1;17;27815;842;24
2;17;24502;842;22
2;20;29843;842;67
2;22;21991;842;17
2;23;22471;842;18
2;24;22611;842;1
2;24;22419;842;814
2;25;21893;842;20
2;26;23894;842;4
2;26;23221;842;2
2;27;22541;842;13
2;27;22680;842;808
2;28;22261;842;30
2;29;22577;842;3
3;32;22069;842;17
2;32;22888;842;153
3;32;22550;842;16
3;32;27439;842;67
2;34;23336;842;5
2;34;24429;842;10
2;35;24416;842;816
2;36;23442;842;155
3;37;25382;842;1
3;37;23977;842;814
3;38;22483;842;18
3;38;22893;842;13
3;39;22602;842;2
2;38;26554;842;24
3;40;22526;842;3
3;41;22313;842;20
3;41;23812;842;4
3;42;22227;842;30
4;43;22161;842;17
3;44;28694;842;808
4;46;27182;842;4
3;44;38823;842;24
4;52;22466;842;1
1;9;22419;843;153
1;9;14160;843;24
1;10;20522;843;30
1;10;23442;843;17
1;10;23160;843;813
1;11;21989;843;814
1;12;20771;843;3
1;12;22010;843;67
1;14;23779;843;18
1;14;21995;843;20
1;14;21855;843;155
1;15;21624;843;13
1;15;20878;843;1
1;15;20989;843;16
1;16;22524;843;4
1;16;21473;843;815
1;16;21709;843;22
2;16;24722;843;67
1;16;22683;843;10
1;17;21981;843;808
1;18;22216;843;2
1;19;22485;843;5
1;20;23029;843;15
1;20;22901;843;816
2;21;24467;843;24
1;23;26049;843;39
2;24;20758;843;18
2;25;22005;843;3
2;25;20533;843;1
2;25;21132;843;17
2;25;22062;843;813
2;26;21964;843;30
2;28;21908;843;10
2;30;21058;843;16
2;30;21936;843;155
2;30;21821;843;2
2;31;21533;843;20
2;32;21251;843;4
2;32;21218;843;814
2;33;21168;843;13
3;33;21928;843;67
2;34;22802;843;816
2;35;21481;843;22
2;36;23397;843;815
3;37;21237;843;18
2;37;22005;843;808
3;38;20567;843;1
3;39;20720;843;3
3;39;21400;843;30
3;40;21091;843;17
3;39;33827;843;10
2;40;21890;843;5
3;40;27620;843;813
2;42;22260;843;15
3;45;23499;843;24
3;47;28708;843;16
3;48;13900;843;815
4;50;28845;843;815
1;1;29270;844;815
1;2;30182;844;30
1;8;21422;844;808
1;9;22022;844;13
1;9;20833;844;1
1;9;21769;844;67
1;10;21050;844;17
1;10;21308;844;4
1;10;22573;844;3
1;10;22300;844;2
1;10;22717;844;22
1;10;21649;844;16
1;11;20623;844;20
1;11;20775;844;814
1;11;23881;844;813
1;13;21368;844;18
1;13;21820;844;155
1;13;22713;844;153
1;13;23066;844;15
2;14;20907;844;30
1;14;27353;844;39
1;15;22854;844;5
1;15;24634;844;24
2;16;22895;844;815
1;16;22779;844;816
2;16;56611;844;24
2;19;21323;844;808
2;20;21075;844;1
2;21;20421;844;17
2;22;20927;844;3
2;22;21919;844;2
2;23;21732;844;4
2;23;21322;844;13
2;23;22128;844;67
2;23;23455;844;155
2;24;22868;844;22
2;24;20930;844;814
2;25;20112;844;20
2;25;21084;844;16
2;25;22555;844;813
2;25;22862;844;15
2;26;22639;844;18
2;27;24962;844;39
2;29;21826;844;153
3;30;20379;844;30
2;31;21633;844;5
3;32;20887;844;814
3;32;22365;844;815
3;33;20949;844;3
3;34;35688;844;1
2;33;24837;844;816
3;34;21838;844;808
3;34;23471;844;13
3;35;20843;844;17
3;36;21702;844;4
3;36;20872;844;2
3;35;25125;844;24
3;38;22456;844;155
3;39;21417;844;18
3;39;21986;844;153
3;40;20385;844;20
3;39;22219;844;15
3;40;22032;844;67
3;40;21687;844;22
3;40;21006;844;16
4;37;43603;844;24
3;41;21827;844;813
4;42;21715;844;815
4;44;20308;844;3
4;44;21403;844;814
4;45;22087;844;17
4;45;21662;844;808
4;45;20597;844;30
4;46;21379;844;4
4;45;13925;844;813
4;46;22041;844;1
4;46;21884;844;2
4;46;26685;844;13
4;47;20489;844;20
3;45;24474;844;39
3;53;23114;844;5
4;55;21931;844;153
1;1;24871;845;155
1;7;23592;845;815
1;8;22689;845;813
1;9;20253;845;20
1;9;20818;845;67
1;10;20567;845;4
1;10;20881;845;17
1;10;20084;845;30
1;11;19761;845;1
1;11;21856;845;808
1;11;20647;845;3
1;11;20800;845;13
